Image_Target	Image_Distractor	Location_Target	Location_Distractor	targetv	distractorv	List	Condition	Blocks	Pair_num	Sound	CS_Onset	Crit_period	Frame_duration	Target_Syl	Distractor_Syl	Target_Freq	Distractor_Freq	Target_RT	Distractor_RT	Status	Status_1	gender_sp_values	cognate	random
statue.jpg	slide.jpg	"(1564, 540)"	"(355, 540)"	estatua	resbaladilla	3	S	10	0	encuentra_el_dibujo_de_una_estatua.wav	924	970	1894	0	0	0	0	0	0	fill	r	f	NA	0.802902065
windmill.jpg	brush.jpg	"(355, 540)"	"(959, 890)"	molino	cepillo	3	S	10	0	elige_el_dibujo_de_un_molino.wav	880	1074	1954	0	0	0	0	0	0	fill	r	m	NA	0.855402127
fish.jpg	razor.jpg	"(1331, 816)"	"(1331, 263)"	pez	rastrillo	3	S_HT	10	3	encuentra_el_dibujo_de_un_pez.wav	940	927	1867	1	3	4.094	0.693	980	1152	exp	r	m	NA	0.815019553
cactus.jpg	king.jpg	"(1331, 816)"	"(588, 263)"	nopal	rey	3	S_LT	10	12	elige_el_dibujo_de_un_nopal.wav	880	1074	1954	2	1	1.099	5.737	996	919	exp	r	m	NA	0.825845595
package.jpg	snail.jpg	"(588, 263)"	"(1331, 816)"	package	snail	3	CS	11	0	encuentra_el_drawing_of_a_package.wav	927	841	1768	0	0	0	0	0	0	fill	r	m	NA	0.064239785
violin.jpg	rug.jpg	"(588, 263)"	"(588, 816)"	violins	tapete	3	S	11	0	encuentra_el_dibujo_de_un_violins.wav	940	927	1867	0	0	0	0	0	0	fill	r	m	NA	0.383662239
priest.jpg	chest.jpg	"(355, 540)"	"(1331, 816)"	sacerdote	pecho	3	S	11	0	encuentra_el_dibujo_de_un_sacerdote.wav	940	927	1867	0	0	0	0	0	0	fill	r	m	NA	0.869836444
bug.jpg	shark.jpg	"(1564, 540)"	"(959, 890)"	escarabajo	tiburon	3	S	11	0	elige_el_dibujo_de_un_escarabajo.wav	880	1074	1954	0	0	0	0	0	0	fill	r	m	NA	0.873555783
peacock.jpg	drill.jpg	"(1331, 816)"	"(1331, 263)"	pavoreal	taladro	3	S	8	0	encuentra_el_dibujo_de_un_pavoreal.wav	940	927	1867	0	0	0	0	0	0	fill	r	m	NA	0.887906821
magnet.jpg	turkey.jpg	"(1331, 816)"	"(355, 540)"	iman	pavo	3	S	11	0	encuentra_el_dibujo_de_un_iman.wav	940	927	1867	0	0	0	0	0	0	fill	r	m	NA	0.899425623
